cod_municipio,nome_municipio,sigla_uf,ano,soja_ha
3515202,Estrela d'Oeste,SP,2008,245.1866055605421
3529609,Meridiano,SP,2008,21.742623278808594
3520707,Indiaporã,SP,2008,443.38659430384024
3536901,Pedranópolis,SP,2008,163.5543634033203
3528205,Macedônia,SP,2008,286.44305839750405
3532843,Nova Canaã Paulista,SP,2008,5.121336163330078
3547403,Santa Rita d'Oeste,SP,2008,3.952393780517578
3546108,Santa Clara d'Oeste,SP,2008,97.90505120239258
3544509,Rubinéia,SP,2008,26.726622696892232
3547205,Santana da Ponte Pensa,SP,2008,59.91546141967773
3554904,Três Fronteiras,SP,2008,1.3442238891601563
3546603,Santa Fé do Sul,SP,2008,99.41308886079676
3551702,Sertãozinho,SP,2008,147.4525570251465
3505609,Barrinha,SP,2008,72.80154311523438
3539509,Pitangueiras,SP,2008,421.1915785400391
3546504,Santa Ernestina,SP,2008,1.6670771240234374
3518859,Guatapará,SP,2008,297.84911193847654
3524303,Jaboticabal,SP,2008,736.3210502559648
3531308,Monte Alto,SP,2008,401.12567235454486
3540903,Pradópolis,SP,2008,66.05922626953125
3501004,Altinópolis,SP,2008,1475.3079195617677
3550902,São Simão,SP,2008,57.10160509643555
3510906,Cássia dos Coqueiros,SP,2008,2.4202502624511717
3547601,Santa Rosa de Viterbo,SP,2008,35.91358988647461
3518602,Guariba,SP,2008,103.848848850337
3527603,Luís Antônio,SP,2008,89.47724072875977
3547908,Santo Antônio da Alegria,SP,2008,66.26065082883348
3514601,Dumont,SP,2008,28.54404030151367
3505906,Batatais,SP,2008,1524.9402084818762
3509403,Cajuru,SP,2008,31.615052142333983
3540200,Pontal,SP,2008,57.5223060022212
3525102,Jardinópolis,SP,2008,187.98232028655408
3551405,Serra Azul,SP,2008,41.115125854492184
3543402,Ribeirão Preto,SP,2008,571.5897401489258
3513108,Cravinhos,SP,2008,29.529376123046877
3546256,Santa Cruz da Esperança,SP,2008,0.0
3507803,Brodowski,SP,2008,56.733478948400155
3551504,Serrana,SP,2008,41.0757897277832
3505500,Barretos,SP,2008,4617.847862024931
3553104,Taiaçu,SP,2008,100.85864774665384
3517406,Guaíra,SP,2008,28787.152282405
3506102,Bebedouro,SP,2008,443.08890695003737
3553203,Taiúva,SP,2008,71.69428152142693
3551900,Severínia,SP,2008,24.945788250732424
3509304,Cajobi,SP,2008,4.26732730102539
3533908,Olímpia,SP,2008,107.75838762379365
3556800,Viradouro,SP,2008,220.1700160524615
3512100,Colômbia,SP,2008,2463.7242998316624
3524204,Jaborandi,SP,2008,1058.8284926688877
3553658,Taquaral,SP,2008,14.540182708740234
3517901,Guaraci,SP,2008,900.6092098202694
3512001,Colina,SP,2008,928.3881335647164
3531506,Monte Azul Paulista,SP,2008,14.670178732144224
3554409,Terra Roxa,SP,2008,148.05260091322953
3549508,São José da Bela Vista,SP,2008,226.52638704223634
3525409,Jeriquara,SP,2008,1087.9713030526914
3537008,Pedregulho,SP,2008,490.92391447411626
3543600,Rifaina,SP,2008,71.99242986881032
3516200,Franca,SP,2008,801.1681556673417
3543105,Ribeirão Corrente,SP,2008,400.48704526367186
3542701,Restinga,SP,2008,59.755448864219524
3523701,Itirapuã,SP,2008,27.31480623779297
3513207,Cristais Paulista,SP,2008,1298.6997346184944
3536307,Patrocínio Paulista,SP,2008,450.78293037676644
3534302,Orlândia,SP,2008,362.59100668571926
3521309,Ipuã,SP,2008,4568.774112257032
3531902,Morro Agudo,SP,2008,1679.8043130188946
3544905,Sales Oliveira,SP,2008,415.1522575410013
3533601,Nuporanga,SP,2008,1523.2799314156325
3549409,São Joaquim da Barra,SP,2008,1054.673972027564
3508207,Buritizal,SP,2008,677.1844152364094
3503000,Aramina,SP,2008,456.3921444532686
3520103,Igarapava,SP,2008,233.61921176757812
3524105,Ituverava,SP,2008,4477.024728621897
3529708,Miguelópolis,SP,2008,11106.6801827923
3517703,Guará,SP,2008,1519.5080600642186
3516853,Gavião Peixoto,SP,2008,87.35105072351791
3543709,Rincão,SP,2008,206.71435221354164
3501707,Américo Brasiliense,SP,2008,72.79972823486328
3546900,Santa Lúcia,SP,2008,17.728924004408892
3503208,Araraquara,SP,2008,1160.8292075069892
3552700,Tabatinga,SP,2008,69.81921289672852
3532058,Motuca,SP,2008,429.2919571340045
3507407,Borborema,SP,2008,538.9668467713599
3532900,Nova Europa,SP,2008,32.27044927368164
3529302,Matão,SP,2008,244.70247385052846
3553708,Taquaritinga,SP,2008,250.75656347045899
3506706,Boa Esperança do Sul,SP,2008,24.090860217285154
3522703,Itápolis,SP,2008,288.07892868041995
3519600,Ibitinga,SP,2008,527.3131283630371
3514007,Dobrada,SP,2008,3.2481261485619637
3554755,Trabiju,SP,2008,3.9858635986328124
3510104,Cândido Rodrigues,SP,2008,0.0
3519303,Ibaté,SP,2008,220.05957530508005
3548906,São Carlos,SP,2008,377.8866940551758
3542909,Ribeirão Bonito,SP,2008,47.22544763793945
3547502,Santa Rita do Passa Quatro,SP,2008,139.68642982328527
3513702,Descalvado,SP,2008,268.2698645476218
3539301,Pirassununga,SP,2008,2390.498353422923
3540705,Porto Ferreira,SP,2008,895.2376560962392
3514304,Dourado,SP,2008,6.471281896972656
3510807,Casa Branca,SP,2008,9037.668752256339
3553302,Tambaú,SP,2008,714.8708670716289
3546306,Santa Cruz das Palmeiras,SP,2008,1251.8815183413994
3502002,Analândia,SP,2008,40.86701372604071
3513900,Divinolândia,SP,2008,116.01586341859107
3508702,Caconde,SP,2008,63.96807691894531
3550803,São Sebastião da Grama,SP,2008,142.83497313912184
3553609,Tapiratiba,SP,2008,87.4572914772662
3523800,Itobi,SP,2008,824.62802700236
3549706,São José do Rio Pardo,SP,2008,805.0608869410615
3530508,Mococa,SP,2008,1509.361864031671
3526209,Juquitiba,SP,2008,0.0
3518305,Guararema,SP,2008,10.358895123291015
3513009,Cotia,SP,2008,12.387986199951172
3543303,Ribeirão Pires,SP,2008,0.0
3550308,São Paulo,SP,2008,4.758973675537109
3515707,Ferraz de Vasconcelos,SP,2008,0.0
3503901,Arujá,SP,2008,0.9866916748046874
3505708,Barueri,SP,2008,0.0
3509205,Cajamar,SP,2008,0.0
3547809,Santo André,SP,2008,0.0
3548708,São Bernardo do Campo,SP,2008,0.6555965881347656
3518800,Guarulhos,SP,2008,0.5754126892089844
3548807,São Caetano do Sul,SP,2008,0.0
3534401,Osasco,SP,2008,0.0
3528502,Mairiporã,SP,2008,3.2288212012197457
3523107,Itaquaquecetuba,SP,2008,0.0
3552502,Suzano,SP,2008,7.157161360605277
3544103,Rio Grande da Serra,SP,2008,0.0
3509007,Caieiras,SP,2008,0.0
3530607,Mogi das Cruzes,SP,2008,221.16018996620326
3513801,Diadema,SP,2008,0.0
3539806,Poá,SP,2008,0.0
3510609,Carapicuíba,SP,2008,0.0
3546801,Santa Isabel,SP,2008,12.425426110839844
3549953,São Lourenço da Serra,SP,2008,0.6557962341308594
3547304,Santana de Parnaíba,SP,2008,0.6574889282226563
3522505,Itapevi,SP,2008,0.41073634643554685
3539103,Pirapora do Bom Jesus,SP,2008,0.0
3506607,Biritiba Mirim,SP,2008,76.8583302368164
3552809,Taboão da Serra,SP,2008,0.0
3516309,Francisco Morato,SP,2008,0.0
