RGINT,Ano,Categoria,Area_ha,Fonte
Barreiras,2011,Outras_Perenes,4053.505996337848,MapBiomas
Barreiras,2011,Outras_Temporarias,812096.5932125584,MapBiomas
Barreiras,2011,Pastagem,1012608.784511962,MapBiomas
Barreiras,2011,Silvicultura,8275.563630993636,MapBiomas
Barreiras,2011,Soja,989462.4369214526,MapBiomas
Barreiras,2011,Veg_Nativa_Campestre,427298.13502450765,MapBiomas
Barreiras,2011,Veg_Nativa_Florestal,342241.3724428648,MapBiomas
Barreiras,2011,Veg_Nativa_Savanica,7557537.571638737,MapBiomas
Barreiras,2011,Veg_Nativa_Umida,196746.61406000084,MapBiomas
Barreiras,2012,Algodão,84409.31876758212,MapBiomas
Barreiras,2012,Cana,41825.63098191547,MapBiomas
Barreiras,2012,Mosaico_Usos,366650.2047376509,MapBiomas
Barreiras,2012,Outras,155177.7294968509,MapBiomas
Barreiras,2012,Outras_Perenes,1862.6376608337448,MapBiomas
Barreiras,2012,Outras_Temporarias,1008113.4086134977,MapBiomas
Barreiras,2012,Pastagem,1031600.9754547797,MapBiomas
Barreiras,2012,Silvicultura,9396.786207470679,MapBiomas
Barreiras,2012,Soja,940957.4492907937,MapBiomas
Barreiras,2012,Veg_Nativa_Campestre,417229.03995748627,MapBiomas
Barreiras,2012,Veg_Nativa_Florestal,338510.6703043879,MapBiomas
Barreiras,2012,Veg_Nativa_Savanica,7419885.005818126,MapBiomas
Barreiras,2012,Veg_Nativa_Umida,197354.04538687022,MapBiomas
Barreiras,2013,Algodão,37524.860656581004,MapBiomas
Barreiras,2013,Cana,41516.30090653697,MapBiomas
Barreiras,2013,Mosaico_Usos,364042.2800228869,MapBiomas
Barreiras,2013,Outras,159125.00579116258,MapBiomas
Barreiras,2013,Outras_Perenes,1978.9655661926295,MapBiomas
Barreiras,2013,Outras_Temporarias,1154751.9908763715,MapBiomas
Barreiras,2013,Pastagem,1084746.539740277,MapBiomas
Barreiras,2013,Silvicultura,11313.260426074154,MapBiomas
Barreiras,2013,Soja,933361.8709367125,MapBiomas
Barreiras,2013,Veg_Nativa_Campestre,407862.38695008884,MapBiomas
Barreiras,2013,Veg_Nativa_Florestal,334465.5633916544,MapBiomas
Barreiras,2013,Veg_Nativa_Savanica,7284761.709416232,MapBiomas
Barreiras,2013,Veg_Nativa_Umida,197522.1679964816,MapBiomas
Barreiras,2014,Algodão,67677.32187407355,MapBiomas
Barreiras,2014,Cana,38817.01526215225,MapBiomas
Barreiras,2014,Mosaico_Usos,337124.6203450481,MapBiomas
Barreiras,2014,Outras,161648.14547675295,MapBiomas
Barreiras,2014,Outras_Perenes,1248.6550027587882,MapBiomas
Barreiras,2014,Outras_Temporarias,1090607.7807181724,MapBiomas
Barreiras,2014,Pastagem,1137946.9525928495,MapBiomas
Barreiras,2014,Silvicultura,12050.642326702793,MapBiomas
Barreiras,2014,Soja,1046004.7237758908,MapBiomas
Barreiras,2014,Veg_Nativa_Campestre,403297.1427340208,MapBiomas
Barreiras,2014,Veg_Nativa_Florestal,329280.02774253296,MapBiomas
Barreiras,2014,Veg_Nativa_Savanica,7188728.278218357,MapBiomas
Barreiras,2014,Veg_Nativa_Umida,198541.5966080061,MapBiomas
Barreiras,2015,Algodão,78466.1971703587,MapBiomas
Barreiras,2015,Cana,38679.15007228364,MapBiomas
Barreiras,2015,Mosaico_Usos,297061.7600901413,MapBiomas
Barreiras,2015,Outras,161262.12068673238,MapBiomas
Barreiras,2015,Outras_Perenes,1153.4153101989755,MapBiomas
Barreiras,2015,Outras_Temporarias,1037468.3773589834,MapBiomas
Barreiras,2015,Pastagem,1179404.8926683625,MapBiomas
Barreiras,2015,Silvicultura,12469.499721575836,MapBiomas
Barreiras,2015,Soja,1141540.8690948328,MapBiomas
Barreiras,2015,Veg_Nativa_Campestre,401753.379072351,MapBiomas
Barreiras,2015,Veg_Nativa_Florestal,325693.00342828775,MapBiomas
Barreiras,2015,Veg_Nativa_Savanica,7138763.384161212,MapBiomas
Barreiras,2015,Veg_Nativa_Umida,199256.85384193182,MapBiomas
Barreiras,2016,Algodão,35279.209722655585,MapBiomas
Barreiras,2016,Cana,36672.937513811994,MapBiomas
Barreiras,2016,Mosaico_Usos,288302.77621219424,MapBiomas
Barreiras,2016,Outras,164676.3525595418,MapBiomas
Barreiras,2016,Outras_Perenes,1025.6273632629402,MapBiomas
Barreiras,2016,Outras_Temporarias,863342.9611759642,MapBiomas
Barreiras,2016,Pastagem,1199750.8673551905,MapBiomas
Barreiras,2016,Silvicultura,12447.299075305082,MapBiomas
Barreiras,2016,Soja,1386415.3706151359,MapBiomas
Barreiras,2016,Veg_Nativa_Campestre,399663.296630163,MapBiomas
Barreiras,2016,Veg_Nativa_Florestal,323613.49597037036,MapBiomas
Barreiras,2016,Veg_Nativa_Savanica,7104414.502695587,MapBiomas
Barreiras,2016,Veg_Nativa_Umida,197368.20578807467,MapBiomas
Barreiras,2017,Algodão,92937.1796558061,MapBiomas
Barreiras,2017,Cana,34583.0820006469,MapBiomas
Barreiras,2017,Mosaico_Usos,285926.1850525434,MapBiomas
Barreiras,2017,Outras,160068.74689838436,MapBiomas
Barreiras,2017,Outras_Perenes,859.4063253173829,MapBiomas
Barreiras,2017,Outras_Temporarias,694685.2542547302,MapBiomas
Barreiras,2017,Pastagem,1201159.7285930242,MapBiomas
Barreiras,2017,Silvicultura,12437.320957348547,MapBiomas
Barreiras,2017,Soja,1539907.1418129532,MapBiomas
Barreiras,2017,Veg_Nativa_Campestre,398050.57279224874,MapBiomas
Barreiras,2017,Veg_Nativa_Florestal,323206.02420622914,MapBiomas
Barreiras,2017,Veg_Nativa_Savanica,7072126.812777049,MapBiomas
Barreiras,2017,Veg_Nativa_Umida,197025.44735093956,MapBiomas
Barreiras,2018,Algodão,93611.5886323486,MapBiomas
Barreiras,2018,Cana,35228.22960025026,MapBiomas
Barreiras,2018,Mosaico_Usos,298293.0779855152,MapBiomas
Barreiras,2018,Outras,155114.69753634246,MapBiomas
Barreiras,2018,Outras_Perenes,1095.6512382995602,MapBiomas
Barreiras,2018,Outras_Temporarias,768493.9453377033,MapBiomas
Barreiras,2018,Pastagem,1204223.2310694747,MapBiomas
Barreiras,2018,Silvicultura,10568.446347662295,MapBiomas
Barreiras,2018,Soja,1486414.4798792943,MapBiomas
Barreiras,2018,Veg_Nativa_Campestre,396285.21880898473,MapBiomas
Barreiras,2018,Veg_Nativa_Florestal,322643.438529257,MapBiomas
Barreiras,2018,Veg_Nativa_Savanica,7042248.6794886645,MapBiomas
Barreiras,2018,Veg_Nativa_Umida,198752.21822427984,MapBiomas
Barreiras,2019,Algodão,64885.61339062509,MapBiomas
Barreiras,2019,Cana,35800.766792309296,MapBiomas
Barreiras,2019,Mosaico_Usos,375925.6499266091,MapBiomas
Barreiras,2019,Outras,153761.55666057955,MapBiomas
Barreiras,2019,Outras_Perenes,4200.623109356693,MapBiomas
Barreiras,2019,Outras_Temporarias,800016.9462792523,MapBiomas
Barreiras,2019,Pastagem,1206089.8897534483,MapBiomas
Barreiras,2019,Silvicultura,10260.760793304384,MapBiomas
Barreiras,2019,Soja,1496277.6457352815,MapBiomas
Barreiras,2019,Veg_Nativa_Campestre,391838.73745206796,MapBiomas
Barreiras,2019,Veg_Nativa_Florestal,321512.2659094579,MapBiomas
Barreiras,2019,Veg_Nativa_Savanica,6953664.4649357,MapBiomas
Barreiras,2019,Veg_Nativa_Umida,198737.98193999013,MapBiomas
Barreiras,2020,Algodão,153855.12906344648,MapBiomas
Barreiras,2020,Cana,36739.34858136567,MapBiomas
Barreiras,2020,Mosaico_Usos,487899.47526358993,MapBiomas
Barreiras,2020,Outras,151247.62084362403,MapBiomas
Barreiras,2020,Outras_Perenes,19058.241878332592,MapBiomas
Barreiras,2020,Outras_Temporarias,691320.6078958395,MapBiomas
Barreiras,2020,Pastagem,1197168.487580873,MapBiomas
Barreiras,2020,Silvicultura,10075.700881909122,MapBiomas
Barreiras,2020,Soja,1542546.3917541222,MapBiomas
Barreiras,2020,Veg_Nativa_Campestre,386540.3521640787,MapBiomas
Barreiras,2020,Veg_Nativa_Florestal,319471.6847453163,MapBiomas
Barreiras,2020,Veg_Nativa_Savanica,6818681.961069541,MapBiomas
Barreiras,2020,Veg_Nativa_Umida,198367.9009552738,MapBiomas
Barreiras,2021,Algodão,148165.39122434924,MapBiomas
Barreiras,2021,Cana,37079.09090488248,MapBiomas
Barreiras,2021,Mosaico_Usos,621190.8950355262,MapBiomas
Barreiras,2021,Outras,150067.74939730458,MapBiomas
Barreiras,2021,Outras_Perenes,19060.84063466193,MapBiomas
Barreiras,2021,Outras_Temporarias,742937.7367339598,MapBiomas
Barreiras,2021,Pastagem,1195845.5656863046,MapBiomas
Barreiras,2021,Silvicultura,10102.86397418819,MapBiomas
Barreiras,2021,Soja,1503468.5758346834,MapBiomas
Barreiras,2021,Veg_Nativa_Campestre,378290.2560055408,MapBiomas
Barreiras,2021,Veg_Nativa_Florestal,315677.7192762776,MapBiomas
Barreiras,2021,Veg_Nativa_Savanica,6692975.623733775,MapBiomas
Barreiras,2021,Veg_Nativa_Umida,198110.5942357979,MapBiomas
Barreiras,2022,Algodão,180596.18012046567,MapBiomas
Barreiras,2022,Cana,37825.751730658216,MapBiomas
Barreiras,2022,Mosaico_Usos,789730.3251667893,MapBiomas
Barreiras,2022,Outras,150278.96344073286,MapBiomas
Barreiras,2022,Outras_Perenes,17758.768303344776,MapBiomas
Barreiras,2022,Outras_Temporarias,557387.9731378402,MapBiomas
Barreiras,2022,Pastagem,1204780.386445324,MapBiomas
Barreiras,2022,Silvicultura,10033.357694580038,MapBiomas
Barreiras,2022,Soja,1687115.646363804,MapBiomas
Barreiras,2022,Veg_Nativa_Campestre,368890.9215226542,MapBiomas
Barreiras,2022,Veg_Nativa_Florestal,312471.44328760676,MapBiomas
Barreiras,2022,Veg_Nativa_Savanica,6500560.77008141,MapBiomas
Barreiras,2022,Veg_Nativa_Umida,195542.41538206578,MapBiomas
Barreiras,2023,Algodão,184357.4960771873,MapBiomas
Barreiras,2023,Cana,37106.457448315356,MapBiomas
Barreiras,2023,Mosaico_Usos,987642.6157609627,MapBiomas
Barreiras,2023,Outras,156149.33339436044,MapBiomas
Barreiras,2023,Outras_Perenes,17760.31408758549,MapBiomas
Barreiras,2023,Outras_Temporarias,552463.1884406585,MapBiomas
Barreiras,2023,Pastagem,1203628.4752997893,MapBiomas
Barreiras,2023,Silvicultura,10024.462216253622,MapBiomas
Barreiras,2023,Soja,1716426.5028842015,MapBiomas
Barreiras,2023,Veg_Nativa_Campestre,354265.274268163,MapBiomas
Barreiras,2023,Veg_Nativa_Florestal,310415.910470732,MapBiomas
Barreiras,2023,Veg_Nativa_Savanica,6289436.017710242,MapBiomas
Barreiras,2023,Veg_Nativa_Umida,193296.85461889798,MapBiomas
Barreiras,2024,Algodão,133487.09704072005,MapBiomas
Barreiras,2024,Cana,35684.56489426269,MapBiomas
Barreiras,2024,Mosaico_Usos,1110080.5784773373,MapBiomas
Barreiras,2024,Outras,149468.49624854737,MapBiomas
Barreiras,2024,Outras_Perenes,17014.588043743915,MapBiomas
Barreiras,2024,Outras_Temporarias,497972.0823164249,MapBiomas
Barreiras,2024,Pastagem,1204869.589687329,MapBiomas
Barreiras,2024,Silvicultura,9974.447997167923,MapBiomas
Barreiras,2024,Soja,1826154.927736905,MapBiomas
Barreiras,2024,Veg_Nativa_Campestre,349712.87402548676,MapBiomas
Barreiras,2024,Veg_Nativa_Florestal,305741.937280033,MapBiomas
Barreiras,2024,Veg_Nativa_Savanica,6179637.4408589415,MapBiomas
Barreiras,2024,Veg_Nativa_Umida,193174.2780711256,MapBiomas
Sinop,2008,Algodão,7682.961565057412,MapBiomas
Sinop,2008,Cana,0.8677808471679689,MapBiomas
Sinop,2008,Mosaico_Usos,30690.733579266314,MapBiomas
