CD_RGINT,NM_RGINT,SIGLA_UF,ano,cultura,area_ha
1202,Cruzeiro do Sul,AC,2010,soja,0
1202,Cruzeiro do Sul,AC,2011,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2011,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2011,cana,387
1202,Cruzeiro do Sul,AC,2011,milho,11350
1202,Cruzeiro do Sul,AC,2011,soja,0
1202,Cruzeiro do Sul,AC,2012,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2012,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2012,cana,362
1202,Cruzeiro do Sul,AC,2012,milho,13345
1202,Cruzeiro do Sul,AC,2012,soja,0
1202,Cruzeiro do Sul,AC,2013,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2013,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2013,cana,257
1202,Cruzeiro do Sul,AC,2013,milho,11894
1202,Cruzeiro do Sul,AC,2013,soja,0
1202,Cruzeiro do Sul,AC,2014,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2014,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2014,cana,247
1202,Cruzeiro do Sul,AC,2014,milho,9640
1202,Cruzeiro do Sul,AC,2014,soja,0
1202,Cruzeiro do Sul,AC,2015,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2015,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2015,cana,253
1202,Cruzeiro do Sul,AC,2015,milho,10252
1202,Cruzeiro do Sul,AC,2015,soja,0
1202,Cruzeiro do Sul,AC,2016,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2016,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2016,cana,260
1202,Cruzeiro do Sul,AC,2016,milho,11748
1202,Cruzeiro do Sul,AC,2016,soja,0
1202,Cruzeiro do Sul,AC,2017,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2017,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2017,cana,275
1202,Cruzeiro do Sul,AC,2017,milho,10250
1202,Cruzeiro do Sul,AC,2017,soja,0
1202,Cruzeiro do Sul,AC,2018,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2018,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2018,cana,175
1202,Cruzeiro do Sul,AC,2018,milho,8600
1202,Cruzeiro do Sul,AC,2018,soja,0
1202,Cruzeiro do Sul,AC,2019,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2019,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2019,cana,180
1202,Cruzeiro do Sul,AC,2019,milho,8850
1202,Cruzeiro do Sul,AC,2019,soja,0
1202,Cruzeiro do Sul,AC,2020,algodao_arboreo,0
1202,Cruzeiro do Sul,AC,2020,algodao_herbaceo,0
1202,Cruzeiro do Sul,AC,2020,cana,175
1202,Cruzeiro do Sul,AC,2020,milho,8750
1202,Cruzeiro do Sul,AC,2020,soja,0
1202,Cruzeiro do Sul,AC,2021,algodao_arboreo,0
