ano,classe,area_ha,bioma
2014,1 - Culturas perenes,8335.47,Amazônia
2014,1 - Culturas perenes,371248.06,Caatinga
2014,1 - Culturas perenes,982377.3,Cerrado
2014,1 - Culturas perenes,710376.09,Mata Atlântica
2014,1 - Culturas perenes,9198.33,Pampa
2014,10 - Silvicultura,185398.69,Amazônia
2014,10 - Silvicultura,262054.85,Caatinga
2014,10 - Silvicultura,3695890.37,Cerrado
2014,10 - Silvicultura,3173306.25,Mata Atlântica
2014,10 - Silvicultura,1030642.74,Pampa
2014,11 - Veg. prim. florestal,316810920.48,Amazônia
2014,11 - Veg. prim. florestal,22936166.07,Caatinga
2014,11 - Veg. prim. florestal,203381339.44,Cerrado
2014,11 - Veg. prim. florestal,17746865.68,Mata Atlântica
2014,11 - Veg. prim. florestal,13740875.59,Pampa
2014,15 - Outro,10315576.61,Amazônia
2014,15 - Outro,1492212.92,Caatinga
2014,15 - Outro,7488100.77,Cerrado
2014,15 - Outro,3303018.76,Mata Atlântica
2014,15 - Outro,1038043.01,Pampa
2014,2 - Soja,186273.69,Amazônia
2014,2 - Soja,41.76,Caatinga
2014,2 - Soja,3547551.81,Cerrado
2014,2 - Soja,2166444.86,Mata Atlântica
2014,2 - Soja,6017241.33,Pampa
2014,3 - Soja + Milho 2ª safra,58628.64,Amazônia
2014,3 - Soja + Milho 2ª safra,0.0,Caatinga
2014,3 - Soja + Milho 2ª safra,13165253.88,Cerrado
2014,3 - Soja + Milho 2ª safra,3856913.14,Mata Atlântica
2014,3 - Soja + Milho 2ª safra,0.0,Pampa
2014,4 - Milho 1ª safra,329071.99,Amazônia
2014,4 - Milho 1ª safra,823559.0,Caatinga
2014,4 - Milho 1ª safra,2863427.13,Cerrado
2014,4 - Milho 1ª safra,1574681.6,Mata Atlântica
2014,4 - Milho 1ª safra,925514.0,Pampa
2014,5 - Cana-de-açúcar,62160.18,Amazônia
2014,5 - Cana-de-açúcar,1283835.03,Caatinga
2014,5 - Cana-de-açúcar,2816488.31,Cerrado
2014,5 - Cana-de-açúcar,7195363.14,Mata Atlântica
2014,5 - Cana-de-açúcar,83207.49,Pampa
2014,6 - Outra agropecuária,657384.3,Amazônia
2014,6 - Outra agropecuária,5973120.22,Caatinga
2014,6 - Outra agropecuária,25826589.32,Cerrado
2014,6 - Outra agropecuária,14544148.96,Mata Atlântica
2014,6 - Outra agropecuária,5437598.16,Pampa
2014,7 - Pastagem deg. média,4433812.39,Amazônia
2014,7 - Pastagem deg. média,1234038.95,Caatinga
2014,7 - Pastagem deg. média,19354343.82,Cerrado
2014,7 - Pastagem deg. média,2508023.11,Mata Atlântica
2014,7 - Pastagem deg. média,56178.62,Pampa
2014,8 - Pastagem deg. alta,265901.6,Amazônia
2014,8 - Pastagem deg. alta,3556741.31,Caatinga
2014,8 - Pastagem deg. alta,12003523.03,Cerrado
2014,8 - Pastagem deg. alta,887683.86,Mata Atlântica
2014,8 - Pastagem deg. alta,2472.89,Pampa
2014,9 - Pastagem deg. baixa,8567270.2,Amazônia
2014,9 - Pastagem deg. baixa,447616.0,Caatinga
2014,9 - Pastagem deg. baixa,9243707.1,Cerrado
2014,9 - Pastagem deg. baixa,3062689.32,Mata Atlântica
2014,9 - Pastagem deg. baixa,156021.2,Pampa
2015,1 - Culturas perenes,9775.59,Amazônia
2015,1 - Culturas perenes,375660.9,Caatinga
2015,1 - Culturas perenes,1027119.79,Cerrado
2015,1 - Culturas perenes,747327.53,Mata Atlântica
2015,1 - Culturas perenes,9537.69,Pampa
2015,10 - Silvicultura,190526.87,Amazônia
2015,10 - Silvicultura,270743.33,Caatinga
2015,10 - Silvicultura,3852777.23,Cerrado
2015,10 - Silvicultura,3232217.47,Mata Atlântica
2015,10 - Silvicultura,1041096.64,Pampa
2015,11 - Veg. prim. florestal,316281758.5,Amazônia
2015,11 - Veg. prim. florestal,22867973.05,Caatinga
2015,11 - Veg. prim. florestal,202939815.62,Cerrado
2015,11 - Veg. prim. florestal,17755006.11,Mata Atlântica
2015,11 - Veg. prim. florestal,13693556.53,Pampa
2015,15 - Outro,10181275.37,Amazônia
2015,15 - Outro,1470887.93,Caatinga
2015,15 - Outro,6872998.03,Cerrado
2015,15 - Outro,3328649.99,Mata Atlântica
2015,15 - Outro,1043922.59,Pampa
2015,2 - Soja,260275.05,Amazônia
2015,2 - Soja,172.71,Caatinga
2015,2 - Soja,3737690.14,Cerrado
2015,2 - Soja,2060460.12,Mata Atlântica
2015,2 - Soja,6255959.76,Pampa
2015,3 - Soja + Milho 2ª safra,117426.96,Amazônia
2015,3 - Soja + Milho 2ª safra,0.0,Caatinga
2015,3 - Soja + Milho 2ª safra,14136699.11,Cerrado
2015,3 - Soja + Milho 2ª safra,4288089.84,Mata Atlântica
2015,3 - Soja + Milho 2ª safra,0.0,Pampa
2015,4 - Milho 1ª safra,333120.32,Amazônia
2015,4 - Milho 1ª safra,800315.0,Caatinga
2015,4 - Milho 1ª safra,2713218.0,Cerrado
2015,4 - Milho 1ª safra,1380307.07,Mata Atlântica
2015,4 - Milho 1ª safra,854793.0,Pampa
2015,5 - Cana-de-açúcar,62849.29,Amazônia
2015,5 - Cana-de-açúcar,1291838.7,Caatinga
2015,5 - Cana-de-açúcar,3009036.57,Cerrado
2015,5 - Cana-de-açúcar,7278352.82,Mata Atlântica
2015,5 - Cana-de-açúcar,84514.09,Pampa
2015,6 - Outra agropecuária,690796.48,Amazônia
2015,6 - Outra agropecuária,5996754.04,Caatinga
2015,6 - Outra agropecuária,24800583.42,Cerrado
2015,6 - Outra agropecuária,14224837.87,Mata Atlântica
2015,6 - Outra agropecuária,5230158.56,Pampa
2015,7 - Pastagem deg. média,4656258.33,Amazônia
2015,7 - Pastagem deg. média,1160838.75,Caatinga
2015,7 - Pastagem deg. média,19261471.73,Cerrado
2015,7 - Pastagem deg. média,2515716.28,Mata Atlântica
2015,7 - Pastagem deg. média,52974.22,Pampa
2015,8 - Pastagem deg. alta,289083.08,Amazônia
2015,8 - Pastagem deg. alta,3629678.57,Caatinga
2015,8 - Pastagem deg. alta,11925911.13,Cerrado
2015,8 - Pastagem deg. alta,911436.83,Mata Atlântica
2015,8 - Pastagem deg. alta,1633.69,Pampa
2015,9 - Pastagem deg. baixa,8453281.94,Amazônia
2015,9 - Pastagem deg. baixa,483222.26,Caatinga
2015,9 - Pastagem deg. baixa,9355592.91,Cerrado
2015,9 - Pastagem deg. baixa,3054510.12,Mata Atlântica
2015,9 - Pastagem deg. baixa,171389.07,Pampa
2016,1 - Culturas perenes,11979.24,Amazônia
2016,1 - Culturas perenes,368408.9,Caatinga
2016,1 - Culturas perenes,1041014.72,Cerrado
2016,1 - Culturas perenes,760076.11,Mata Atlântica
2016,1 - Culturas perenes,9739.14,Pampa
2016,10 - Silvicultura,194373.24,Amazônia
2016,10 - Silvicultura,277383.08,Caatinga
2016,10 - Silvicultura,3980192.04,Cerrado
2016,10 - Silvicultura,3280749.8,Mata Atlântica
2016,10 - Silvicultura,1055070.12,Pampa
2016,11 - Veg. prim. florestal,315837696.0,Amazônia
2016,11 - Veg. prim. florestal,22813662.86,Caatinga
2016,11 - Veg. prim. florestal,202191243.92,Cerrado
2016,11 - Veg. prim. florestal,17756765.79,Mata Atlântica
2016,11 - Veg. prim. florestal,13619890.52,Pampa
2016,15 - Outro,9850160.55,Amazônia
2016,15 - Outro,1471757.66,Caatinga
2016,15 - Outro,7003189.47,Cerrado
2016,15 - Outro,3370212.37,Mata Atlântica
2016,15 - Outro,1048014.41,Pampa
2016,2 - Soja,348200.92,Amazônia
2016,2 - Soja,245.88,Caatinga
2016,2 - Soja,4050364.67,Cerrado
2016,2 - Soja,1903311.1,Mata Atlântica
2016,2 - Soja,6360050.88,Pampa
2016,3 - Soja + Milho 2ª safra,132060.23,Amazônia
2016,3 - Soja + Milho 2ª safra,0.0,Caatinga
2016,3 - Soja + Milho 2ª safra,15463855.0,Cerrado
2016,3 - Soja + Milho 2ª safra,5126278.67,Mata Atlântica
2016,3 - Soja + Milho 2ª safra,0.0,Pampa
2016,4 - Milho 1ª safra,286355.33,Amazônia
2016,4 - Milho 1ª safra,818824.0,Caatinga
2016,4 - Milho 1ª safra,2361845.84,Cerrado
