periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2017_2024,2 - Soja,2 - Soja,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,124791.28
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,5 - Cana-de-açúcar,5 - Cana-de-açúcar,106903.18
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,106809.41
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,5 - Cana-de-açúcar,5 - Cana-de-açúcar,92082.7
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,91705.27
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,88343.72
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,2 - Soja,2 - Soja,73060.81
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,2 - Soja,2 - Soja,71714.04
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,2 - Soja,2 - Soja,70930.81
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,66700.59
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,62199.79
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,47804.36
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,6 - Outra agropecuária,6 - Outra agropecuária,44667.67
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,12 - Veg. sec. florestal,12 - Veg. sec. florestal,41596.89
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,12 - Veg. sec. florestal,41279.61
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,37907.18
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,2 - Soja,2 - Soja,37521.04
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,12 - Veg. sec. florestal,12 - Veg. sec. florestal,25739.93
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,23294.06
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,20561.06
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,2 - Soja,2 - Soja,17489.7
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,13706.46
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,5582.97
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2 - Soja,2 - Soja,4509.91
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,4345.25
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,4072.95
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,3520.86
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,3456.11
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,6 - Outra agropecuária,6 - Outra agropecuária,2607.9
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,2494.07
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,1073.23
2017_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,12 - Veg. sec. florestal,890.99
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,877.82
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,877.82
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2 - Soja,2 - Soja,768.23
2017_2024,2 - Soja,2 - Soja,12 - Veg. sec. florestal,12 - Veg. sec. florestal,755.57
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,274.4
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,194.61
2017_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,176.14
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,154.88
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,67.34
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,67.34
2017_2024,2 - Soja,2 - Soja,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,19.15
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,15.11
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,335700183.2
