CD_MUN,SIGLA_UF,ANO,Veg_Natural_Primaria,Veg_Natural_Secundaria,Silvicultura,Pastagem,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Outras_Areas_Edificadas,Corpo_Dagua,Outros_Usos,Nao_Observado
3500758,SP,2018,66.90083956776,1.877037809328,0.0,133.259646826944,0.0,1.997489433456,6.313672631376,6.313672631376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500303,SP,2018,1563.301479015936,1693.04795347248,727.4776215564,2686.703589081072,6813.918264014928,7812.913921626527,3126.82378600944,817.454984780016,2309.368801229424,0.0,62.223301497456,0.0,50.308628344128,110.373838242624,0.0,0.0
3512100,SP,2018,6259.429249977024,522.0072260647199,0.0,3501.287810152704,11319.601979594305,23354.475816166705,2784.680947673856,2039.757915889584,744.923031784272,13.821823868688,0.0,87.54825547036802,54.393945929136,820.656990454752,0.0,0.0
3543709,SP,2018,2381.248307927808,406.032387300144,0.0,2648.901854375568,1179.1712120364,9066.534275009377,348.115231365264,348.115231365264,0.0,2.288580858432,0.0,0.0,25.686308845296,181.249581406608,0.0,0.0
3506003,SP,2018,5547.349361038319,1709.248696917696,2877.669601500672,15263.609734229472,1925.650077298992,1077.5401541784,171.59337620568002,171.59337620568002,0.0,0.0,0.0,10511.993915086752,835.23163697424,42.569611493904,0.0,0.0
3542404,SP,2018,795.13128377496,297.545624502192,45.932219334144,5406.491224255968,18.348797408832,1944.129363967296,842.900390377056,404.526741998544,438.373648378512,0.0,0.0,10.168124603472,0.0,2.228355046368,0.0,0.0
3545506,SP,2018,389.76138040752,259.482911277744,0.0,4334.481807152112,297.194307265152,2491.963425772128,763.0811141215679,181.299769583328,581.78134453824,0.0,0.0,62.715145629312005,0.0,11.202001043904,0.0,0.0
3544202,SP,2018,2525.479090185744,238.152936171744,0.0,11662.316963144496,984.13995730248,8356.391649692065,1641.374206721568,1313.404509491712,327.969697229856,0.0,0.0,0.0,0.0,17.324958603743998,0.0,0.0
3521101,SP,2018,448.73248805352,450.127719366336,32.913406292976,2088.591011838144,0.0,3983.074231394016,0.0,0.0,0.0,0.0,147.493013744736,229.15921490352,115.242091384464,20.145534135408,0.0,0.0
3540705,SP,2018,1859.903565795792,295.688661963552,77.89205026943999,2927.586762066384,469.339753414752,8650.78545669624,1717.078052486016,855.939278688912,861.138773797104,1.7866990912319998,32.110395465455994,1929.68520670728,75.613507046352,115.543220444784,0.0,0.0
3527801,SP,2018,315.25201324900803,56.722677328944,12.988700135136,1790.272489414464,62.213263862112,0.0,31.046406118992,31.046406118992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503406,SP,2018,4851.018521954352,958.574100081312,1580.495948360208,18676.435864095503,1836.104332395168,10804.239668127311,1369.424552346576,1040.360752864224,329.063799482352,0.0,0.0,0.0,187.49299059057603,0.0,0.0,0.0
3533700,SP,2018,2331.1605075612483,480.682281353472,195.573287042496,11063.451563250768,762.589269989712,1214.413349729184,960.922906751808,518.1828869986559,442.740019753152,0.0,0.0,91.432820348496,0.0,1.686322737792,0.0,0.0
3523701,SP,2018,51.322429513872,3.824339066064,0.0,341.620881297696,509.6609345916,82.56958833974402,0.0,0.0,0.0,0.0,0.0,9.304887963888,0.0,0.0,0.0,0.0
3535507,SP,2018,8754.855659942832,1950.473149504704,615.578062741488,13135.45036386528,7.12672109424,59983.945202750976,5413.567757173489,3136.791157906032,2276.7765992674563,0.0,0.0,1090.217687617872,269.078890666608,296.51174806176,0.0,0.0
3522406,SP,2018,19078.403009081325,4264.178209202736,29638.607686725318,14942.0239730784,1069.801137328176,2929.554138593808,56323.96237780963,5564.282851863648,50759.67952594598,23.949797930784,0.0,2.7603497196,356.5368074188801,573.75123626304,86.112873616176,0.0
3534203,SP,2018,2369.494236939984,111.61850502528,0.0,3733.117036057728,531.422528017392,11111.140368770111,1244.897648268912,1147.442246714016,97.455401554896,0.0,0.0,115.804198963728,67.623549312528,4.025091772944,0.0,0.0
3524204,SP,2018,67.141742816016,0.0,0.0,28.40650802352,36.33623994528,1538.2776541033445,50.378891791536006,17.134243532208,33.244648259328,0.0,0.0,0.0,0.0,14.163103470384,0.0,0.0
3519600,SP,2018,1670.292634147632,447.668498707056,0.0,1465.263894611088,2819.5717681296,4231.836948124367,360.110205601344,360.110205601344,0.0,0.0,0.0,0.0,0.0,161.686230121152,0.0,0.0
3501707,SP,2018,722.790045850752,68.466710681424,0.0,193.354969631472,52.79796190944,4991.103760815216,62.13296277936,62.13296277936,0.0,0.0,0.0,821.520227094336,0.0,12.44666782656,0.0,0.0
3541208,SP,2018,2652.214274039088,1220.817361078656,52.004988717264,10891.195703112384,56.01000521952,1650.157137647568,871.728479085024,0.0,871.728479085024,0.0,0.0,0.0,12.767872157568,2.971140061824,0.0,0.0
3530706,SP,2018,2850.2267064701764,4161.884667412032,7553.180069465184,5459.5200517783205,13047.902108394912,4613.006112677424,4638.210615026208,893.469997240128,3744.74061778608,0.0,63.648645716304,0.0,53.871988891248,124.296038464752,0.0,0.0
3505203,SP,2018,1740.596232097008,119.738952018576,84.255911077536,1552.069365066,2440.460318822064,7735.60405420704,325.149121698192,325.149121698192,0.0,0.0,0.0,0.0,0.0,9.646167565584,0.0,0.0
3542503,SP,2018,1886.443073645328,54.30360721104,1569.213646233552,1195.512482376432,1091.121074798832,492.667217954208,284.255795306736,284.255795306736,0.0,0.0,0.0,0.0,0.0,5.048930578032,0.0,0.0
3507803,SP,2018,481.686044887872,674.57928329352,200.883196139472,1389.590161752672,122.77031789246398,9292.009677741647,544.9030722843839,544.9030722843839,0.0,0.0,0.0,0.6624839327040001,0.0,77.48050722033601,0.0,0.0
3512209,SP,2018,915.020800323696,690.6696127499521,537.4350715884481,4484.052611413056,6874.495393315968,2343.275933421456,2007.798084954288,1371.923923547232,635.874161407056,0.0,0.0,777.1639165092,30.654938340576,38.976138040752,0.0,0.0
3515301,SP,2018,150.434040900528,79.52818483051199,0.0,944.601711682464,0.0,979.251628889952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3516606,SP,2018,79.136717052096,36.105374332368,14.614797060864,580.7173551917759,0.0,123.784119062208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3546900,SP,2018,1276.767140486112,178.408930604256,56.080268666928,308.75766318144,407.17667772936,4257.36265480416,28.80801343728,28.80801343728,0.0,3.041403509232,53.40022003008,1.10413988784,0.0,14.65494760224,0.0,0.0
3553658,SP,2018,105.756525984384,273.686165289504,0.0,117.349994806704,2634.0160411604165,2373.960984668064,216.752697618336,216.752697618336,0.0,0.0,0.0,82.479249621648,0.0,0.0,0.0,0.0
3510708,SP,2018,3223.03452078168,429.028609873248,91.854401032944,15778.249335951696,1357.901346971664,8223.453207196128,1085.459848464816,835.803782188848,249.656066275968,0.0,0.0,0.0,0.0,292.04500033368,0.0,0.0
3533809,SP,2018,0.0,1.345043136096,17.836878006288,70.41401193815999,4.235882115168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3543006,SP,2018,70.11288287784001,41.013778015584,232.652312003232,582.554242459728,0.0,0.0,112.92339762,47.217036658176006,65.706360961824,0.0,0.0,0.0,0.0,0.762860286144,0.0,0.0
3523800,SP,2018,0.040150541376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3527900,SP,2018,3218.86890211392,600.45134627808,228.787822395792,7897.41073595232,0.0,8646.97115526552,4318.14053681208,1810.83960423432,2507.30093257776,5.902129582272001,0.0,0.0,0.0,7.457963060591999,0.0,0.0
3517901,SP,2018,5365.587860229168,299.984769890784,10.961097795648,13145.809203540288,2837.08744180488,26080.48678525488,2367.546935683248,2249.072725718016,118.474209965232,0.0,0.0,268.10524003824,190.715071536,9050.674811165856,0.0,0.0
3529708,SP,2018,1674.317725920576,6.745290951168,0.0,516.697316967744,0.0,16973.470726903153,3176.71083366912,921.846392357616,2254.864441311504,0.0,0.0,0.0,0.0,237.912032923488,0.0,0.0
3508306,SP,2018,3427.009308607104,1265.816080325808,6450.214584960432,10325.153370793536,1582.864830301392,1582.623927053136,75.05139946708799,75.05139946708799,0.0,0.0,0.0,177.294753081072,22.695093512784005,0.0,0.0,0.0
3550407,SP,2018,3021.609292333632,421.650947895408,708.60686710968,4773.337262027137,2162.317443439824,5149.848963780576,21.53072781288001,0.040150541376,21.490577271504005,4.66750043496,0.0,2216.239620507792,298.730065472784,113.495542834608,0.0,0.0
