rgint_id,ano,native_ha
2504,2012,386859.39
2504,2013,384999.6
2504,2014,382543.35
2504,2015,379671.42
2504,2016,377456.38
2504,2017,374995.8
2504,2018,369380.7
2504,2019,365192.51
2504,2020,360757.02
2504,2021,355362.58
2504,2022,347944.73
2504,2023,340449.66
2504,2024,332381.48
2601,2008,287176.9
2601,2009,287552.35
2601,2010,290561.16
2601,2011,293076.32
2601,2012,293238.8
2601,2013,294349.09
2601,2014,294473.09
2601,2015,293269.34
2601,2016,292830.77
2601,2017,290695.12
2601,2018,288048.08
2601,2019,286825.83
2601,2020,285247.96
2601,2021,283833.09
2601,2022,283520.18
2601,2023,283608.13
2601,2024,284634.32
2602,2008,1535715.23
2602,2009,1531388.44
2602,2010,1527551.25
2602,2011,1509039.88
2602,2012,1490628.65
2602,2013,1479793.98
2602,2014,1473946.48
2602,2015,1466666.78
2602,2016,1460591.34
2602,2017,1459741.66
2602,2018,1462098.33
2602,2019,1458013.53
2602,2020,1454702.77
2602,2021,1453455.69
2602,2022,1446162.03
2602,2023,1432271.12
2602,2024,1411609.72
2603,2008,1331340.92
2603,2009,1339711.17
2603,2010,1340680.78
2603,2011,1337969.09
2603,2012,1334865.78
2603,2013,1330838.14
2603,2014,1328796.97
2603,2015,1328558.76
2603,2016,1330985.03
2603,2017,1333282.26
2603,2018,1339351.92
2603,2019,1345618.12
2603,2020,1348250.9
2603,2021,1346436.56
2603,2022,1340010.61
2603,2023,1333826.33
2603,2024,1324088.09
2604,2008,2367337.58
2604,2009,2357286.77
2604,2010,2350813.91
2604,2011,2329734.01
2604,2012,2300619.69
2604,2013,2281271.98
2604,2014,2261931.6
2604,2015,2242267.47
2604,2016,2229435.29
2604,2017,2222321.18
2604,2018,2214135.42
2604,2019,2209431.64
2604,2020,2208401.62
2604,2021,2201120.35
2604,2022,2183934.84
2604,2023,2164711.0
2604,2024,2138760.42
2701,2008,220654.63
2701,2009,221475.13
2701,2010,222976.03
2701,2011,224284.44
2701,2012,224284.3
2701,2013,225116.98
2701,2014,226543.33
2701,2015,228380.76
2701,2016,229285.88
2701,2017,227774.81
2701,2018,228272.41
2701,2019,228712.55
2701,2020,229409.23
2701,2021,229946.18
2701,2022,230120.31
2701,2023,231723.13
2701,2024,233958.48
2702,2008,403765.3
2702,2009,403963.75
2702,2010,405602.24
2702,2011,406275.16
2702,2012,408733.44
2702,2013,409908.04
2702,2014,408524.8
2702,2015,409159.33
2702,2016,408769.07
2702,2017,407173.32
2702,2018,408234.86
2702,2019,407173.02
2702,2020,406102.59
2702,2021,403578.33
2702,2022,398284.18
2702,2023,389214.91
2702,2024,379845.44
2801,2008,234646.21
2801,2009,235871.61
2801,2010,237159.0
2801,2011,235419.5
2801,2012,233336.93
2801,2013,231518.48
2801,2014,232362.84
2801,2015,232228.58
2801,2016,231552.94
2801,2017,228242.67
2801,2018,226820.39
2801,2019,223530.7
2801,2020,219235.64
2801,2021,215055.4
2801,2022,209280.08
2801,2023,206524.92
2801,2024,209108.94
2802,2008,347528.95
2802,2009,341297.27
2802,2010,340725.59
2802,2011,341592.99
2802,2012,338731.9
2802,2013,333606.93
2802,2014,331062.55
2802,2015,329538.8
2802,2016,326655.28
2802,2017,325132.15
2802,2018,325294.79
2802,2019,324430.1
2802,2020,320662.66
2802,2021,312731.86
2802,2022,302127.02
2802,2023,295443.67
2802,2024,287908.41
2901,2008,551228.3
2901,2009,548055.47
2901,2010,544789.5
2901,2011,539312.77
2901,2012,535407.7
2901,2013,525873.46
2901,2014,529462.98
2901,2015,530519.47
2901,2016,529278.63
2901,2017,524202.15
2901,2018,520633.36
2901,2019,513854.45
2901,2020,508438.9
2901,2021,498926.63
2901,2022,489815.07
2901,2023,485956.86
2901,2024,488015.28
2902,2008,673993.12
2902,2009,672966.0
2902,2010,678441.34
2902,2011,681518.15
2902,2012,679400.66
2902,2013,674389.57
2902,2014,673315.03
2902,2015,668656.53
2902,2016,666433.62
2902,2017,657311.64
2902,2018,647951.87
2902,2019,640704.8
2902,2020,631776.86
2902,2021,623973.93
2902,2022,620988.67
2902,2023,617174.08
2902,2024,622311.66
2903,2008,1875204.92
2903,2009,1873107.36
2903,2010,1871855.93
2903,2011,1875896.26
2903,2012,1879567.23
2903,2013,1876475.32
2903,2014,1872504.73
2903,2015,1868054.47
2903,2016,1857172.71
2903,2017,1845764.72
2903,2018,1841384.02
2903,2019,1834492.08
2903,2020,1825509.5
2903,2021,1816975.99
2903,2022,1814072.08
2903,2023,1808006.58
2903,2024,1807858.06
2904,2008,3729985.13
2904,2009,3722354.35
2904,2010,3720332.0
2904,2011,3721596.81
2904,2012,3712376.41
2904,2013,3693887.15
2904,2014,3669505.85
2904,2015,3652263.35
2904,2016,3645471.35
2904,2017,3639222.91
2904,2018,3629972.09
2904,2019,3614241.06
2904,2020,3595326.39
2904,2021,3576975.11
2904,2022,3550663.85
2904,2023,3545433.58
2904,2024,3559402.87
2905,2008,2556234.76
2905,2009,2557178.86
2905,2010,2546705.4
2905,2011,2533849.31
2905,2012,2528593.65
2905,2013,2507519.34
2905,2014,2490173.25
2905,2015,2476404.33
2905,2016,2466309.26
2905,2017,2454231.28
2905,2018,2443859.91
2905,2019,2435053.7
2905,2020,2431385.68
2905,2021,2417411.98
2905,2022,2412794.31
2905,2023,2398827.36
2905,2024,2386223.69
2906,2008,8662285.55
2906,2009,8576867.5
2906,2010,8512578.45
2906,2011,8421560.86
2906,2012,8269979.29
2906,2013,8121374.83
2906,2014,8015660.2
2906,2015,7960665.5
2906,2016,7921918.41
2906,2017,7887669.79
2906,2018,7855404.47
2906,2019,7761176.29
2906,2020,7618781.21
2906,2021,7481032.58
2906,2022,7275615.35
2906,2023,7047748.14
2906,2024,6928773.42
2907,2008,4229456.11
2907,2009,4231652.67
2907,2010,4229192.37
2907,2011,4222926.91
2907,2012,4215101.64
2907,2013,4205629.4
2907,2014,4208457.55
2907,2015,4205098.16
2907,2016,4203019.7
2907,2017,4193068.74
2907,2018,4184669.04
2907,2019,4183862.82
2907,2020,4187572.16
2907,2021,4190296.4
2907,2022,4198008.54
2907,2023,4190782.8
2907,2024,4171737.97
2908,2008,4981832.14
2908,2009,4982875.39
2908,2010,4984666.88
2908,2011,4979319.27
2908,2012,4968516.62
2908,2013,4955489.66
2908,2014,4944741.94
2908,2015,4919098.61
2908,2016,4896722.85
2908,2017,4865399.09
2908,2018,4825530.13
2908,2019,4790550.79
2908,2020,4762151.1
2908,2021,4744230.85
2908,2022,4722324.91
2908,2023,4702831.19
2908,2024,4702379.54
2909,2008,2154321.13
2909,2009,2137526.19
2909,2010,2128848.93
2909,2011,2117940.9
2909,2012,2103150.26
2909,2013,2093943.56
2909,2014,2089473.58
2909,2015,2082735.37
2909,2016,2076653.82
2909,2017,2073794.77
2909,2018,2063679.91
2909,2019,2049007.09
2909,2020,2040265.45
2909,2021,2017289.16
2909,2022,1983416.05
2909,2023,1948918.79
2909,2024,1933053.94
2910,2008,3537632.39
2910,2009,3496439.28
2910,2010,3473215.76
2910,2011,3448079.06
2910,2012,3418922.92
2910,2013,3384988.52
2910,2014,3372899.1
2910,2015,3366109.94
2910,2016,3383020.7
2910,2017,3405459.47
2910,2018,3448747.6
2910,2019,3470900.38
2910,2020,3472229.01
2910,2021,3451422.92
2910,2022,3446694.02
2910,2023,3426292.11
2910,2024,3548274.66
3101,2008,1958928.83
3101,2009,1952903.33
3101,2010,1955047.19
3101,2011,1952894.38
3101,2012,1946845.78
3101,2013,1946114.03
3101,2014,1946619.98
3101,2015,1951908.23
3101,2016,1956290.04
3101,2017,1961644.32
3101,2018,1967108.63
3101,2019,1968927.06
3101,2020,1970870.14
3101,2021,1971363.98
3101,2022,1963277.41
3101,2023,1953877.66
3101,2024,1934378.79
3102,2008,8146087.93
3102,2009,8111660.28
3102,2010,8072024.45
3102,2011,8023004.03
3102,2012,7968469.69
3102,2013,7899296.0
3102,2014,7844612.58
3102,2015,7807800.89
3102,2016,7787144.26
3102,2017,7784952.06
3102,2018,7795240.83
3102,2019,7799361.03
3102,2020,7786284.29
3102,2021,7762226.09
3102,2022,7732665.31
3102,2023,7682873.84
3102,2024,7627401.49
3103,2008,4263952.04
3103,2009,4246441.0
3103,2010,4234032.87
3103,2011,4234335.55
3103,2012,4220616.77
3103,2013,4205134.55
3103,2014,4177938.6
3103,2015,4161706.54
3103,2016,4147663.64
3103,2017,4137749.2
3103,2018,4130324.84
3103,2019,4101416.44
3103,2020,4070877.22
3103,2021,4049405.24
3103,2022,4024666.27
3103,2023,3999499.14
3103,2024,3999967.4
3104,2008,737999.49
3104,2009,749295.66
3104,2010,752508.67
3104,2011,751342.44
3104,2012,755253.26
3104,2013,757545.31
3104,2014,759016.87
3104,2015,759366.36
3104,2016,759292.94
3104,2017,762425.62
3104,2018,765879.71
3104,2019,762664.14
3104,2020,766135.87
3104,2021,762912.9
3104,2022,757086.09
3104,2023,753744.47
3104,2024,749856.08
3105,2008,420874.99
3105,2009,426625.73
3105,2010,428687.93
3105,2011,427155.77
3105,2012,429551.09
3105,2013,431207.13
3105,2014,428242.99
3105,2015,423987.54
3105,2016,423684.7
3105,2017,426864.77
3105,2018,426743.72
3105,2019,427084.15
3105,2020,426706.3
3105,2021,423124.38
3105,2022,417972.02
3105,2023,416281.79
3105,2024,414538.39
3106,2008,927138.79
3106,2009,940102.81
3106,2010,945548.9
3106,2011,947196.37
3106,2012,955832.54
3106,2013,962460.07
3106,2014,966990.63
3106,2015,975588.24
3106,2016,974791.56
3106,2017,974834.83
3106,2018,974903.3
3106,2019,978482.12
3106,2020,978049.73
3106,2021,978488.72
3106,2022,977743.82
3106,2023,979883.72
3106,2024,986576.75
3107,2008,482287.89
3107,2009,480044.28
3107,2010,479103.85
3107,2011,477598.77
3107,2012,475656.16
3107,2013,479036.85
3107,2014,478994.77
3107,2015,478226.56
3107,2016,472834.98
3107,2017,468121.31
3107,2018,461704.5
3107,2019,456713.21
3107,2020,449955.51
3107,2021,446491.64
3107,2022,440250.36
3107,2023,437730.16
3107,2024,437202.67
3108,2008,810862.35
3108,2009,811376.49
3108,2010,810039.4
3108,2011,810404.61
3108,2012,810716.94
3108,2013,811823.94
3108,2014,814207.57
3108,2015,815314.74
3108,2016,813770.2
3108,2017,814412.28
3108,2018,815311.18
3108,2019,813014.45
3108,2020,811025.63
3108,2021,808945.12
3108,2022,803849.03
3108,2023,802794.07
3108,2024,800560.87
3109,2008,516985.9
3109,2009,517560.54
3109,2010,515443.4
3109,2011,512144.76
3109,2012,513680.13
3109,2013,514495.77
3109,2014,517832.16
3109,2015,517567.72
3109,2016,519538.42
3109,2017,522627.96
3109,2018,523431.78
3109,2019,522833.76
3109,2020,521334.78
3109,2021,520052.04
3109,2022,521123.89
3109,2023,522001.14
3109,2024,523689.66
3110,2008,736309.38
3110,2009,735722.41
3110,2010,737012.16
3110,2011,738534.74
3110,2012,740375.47
3110,2013,741743.38
3110,2014,743506.26
3110,2015,745211.27
3110,2016,745750.81
3110,2017,748110.89
3110,2018,750251.53
3110,2019,751589.24
3110,2020,752205.88
3110,2021,750395.04
3110,2022,747205.61
3110,2023,743401.84
3110,2024,738171.17
3111,2008,666923.11
3111,2009,670614.87
3111,2010,674578.19
3111,2011,678700.38
3111,2012,681162.27
3111,2013,683481.33
3111,2014,686309.91
3111,2015,688929.67
3111,2016,692124.32
3111,2017,696686.12
3111,2018,700687.14
3111,2019,702793.86
3111,2020,706257.81
3111,2021,704718.04
3111,2022,702110.43
3111,2023,697178.51
3111,2024,690560.59
3112,2008,3948602.76
3112,2009,3944207.25
3112,2010,3935128.84
3112,2011,3919640.49
3112,2012,3890042.62
3112,2013,3868918.83
3112,2014,3860478.91
3112,2015,3866286.49
3112,2016,3859655.74
3112,2017,3846891.13
3112,2018,3837126.74
3112,2019,3828006.84
3112,2020,3820270.84
3112,2021,3807124.35
3112,2022,3776365.83
3112,2023,3731823.72
3112,2024,3681540.85
3113,2008,887614.72
3113,2009,887557.17
3113,2010,889915.94
3113,2011,891723.1
3113,2012,890262.17
3113,2013,889940.84
3113,2014,889763.96
3113,2015,888263.69
3113,2016,887118.16
3113,2017,884630.86
3113,2018,884478.0
3113,2019,885469.01
3113,2020,885343.2
3113,2021,883038.08
3113,2022,879487.89
3113,2023,875310.68
3113,2024,865853.54
3201,2008,383255.29
3201,2009,385577.23
3201,2010,385072.46
3201,2011,384391.23
3201,2012,385950.95
3201,2013,385859.8
3201,2014,383956.38
3201,2015,384425.86
3201,2016,383008.69
3201,2017,379556.0
3201,2018,377386.8
3201,2019,375729.41
3201,2020,375513.41
3201,2021,375797.17
3201,2022,373394.14
3201,2023,374250.97
3201,2024,373477.44
3202,2008,371219.78
3202,2009,367982.97
3202,2010,363747.47
3202,2011,359985.94
3202,2012,356579.39
3202,2013,355166.52
3202,2014,350307.79
3202,2015,342421.26
3202,2016,337582.63
3202,2017,336386.41
3202,2018,339067.47
3202,2019,340498.48
3202,2020,341977.68
3202,2021,345618.75
3202,2022,346615.93
3202,2023,345569.15
3202,2024,345969.94
3203,2008,225180.68
3203,2009,225344.53
3203,2010,226305.66
3203,2011,227796.71
3203,2012,226529.24
3203,2013,224223.72
3203,2014,222569.03
3203,2015,220873.71
3203,2016,219532.06
3203,2017,221677.69
3203,2018,222740.7
3203,2019,222821.92
3203,2020,223838.75
3203,2021,224088.96
3203,2022,226735.01
3203,2023,226386.44
3203,2024,228056.85
3204,2008,236277.69
3204,2009,235636.01
3204,2010,236060.63
3204,2011,236612.58
3204,2012,238412.41
3204,2013,237969.34
3204,2014,237381.54
3204,2015,238101.42
3204,2016,237156.77
3204,2017,235824.03
3204,2018,235375.99
3204,2019,234328.7
3204,2020,235152.14
3204,2021,235903.84
3204,2022,234496.82
3204,2023,234980.53
3204,2024,235106.89
3301,2008,477927.0
3301,2009,477679.18
3301,2010,478394.37
3301,2011,479523.35
3301,2012,481341.44
3301,2013,482908.72
3301,2014,482810.41
3301,2015,482358.63
3301,2016,482733.68
3301,2017,483611.77
3301,2018,485472.13
3301,2019,486895.43
3301,2020,487438.55
3301,2021,487564.12
3301,2022,488814.59
3301,2023,488781.02
3301,2024,487601.48
3302,2008,245945.88
3302,2009,245913.58
3302,2010,246005.94
3302,2011,245299.12
3302,2012,247255.27
3302,2013,249545.98
3302,2014,250429.8
3302,2015,251578.66
3302,2016,252439.07
3302,2017,252204.96
3302,2018,251903.31
3302,2019,252269.02
3302,2020,251937.32
3302,2021,253366.24
3302,2022,255882.89
3302,2023,257150.08
3302,2024,257019.65
3303,2008,341181.71
3303,2009,343916.78
3303,2010,346016.42
3303,2011,345451.74
3303,2012,347903.02
3303,2013,348951.73
3303,2014,349507.55
3303,2015,351732.14
3303,2016,352792.45
3303,2017,351817.74
3303,2018,351728.57
3303,2019,350521.76
3303,2020,350367.74
3303,2021,352656.07
3303,2022,353232.26
3303,2023,356059.97
3303,2024,358391.55
3304,2008,215945.72
3304,2009,214460.94
3304,2010,213508.78
3304,2011,212463.87
3304,2012,212663.82
3304,2013,212256.08
3304,2014,212000.8
3304,2015,214532.52
3304,2016,215777.66
3304,2017,217491.3
3304,2018,220652.04
3304,2019,221325.53
3304,2020,223735.24
3304,2021,226329.52
3304,2022,224347.11
3304,2023,224141.78
3304,2024,224006.65
3305,2008,132648.92
3305,2009,132829.59
3305,2010,133029.29
3305,2011,133562.33
3305,2012,134209.92
3305,2013,134113.61
3305,2014,133589.09
3305,2015,132991.89
3305,2016,133832.55
3305,2017,134201.65
3305,2018,136000.03
3305,2019,136818.89
3305,2020,136107.93
3305,2021,135737.38
3305,2022,134975.51
3305,2023,134569.27
3305,2024,134765.26
3501,2008,641898.18
3501,2009,641958.28
3501,2010,645255.47
3501,2011,645572.17
3501,2012,645695.62
3501,2013,646335.35
