CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado,mb_municipio,mb_state_acronym,municipality,state_acronym,MB_Floresta_ha,MB_Pastagem_ha,MB_Savana_ha,TC_Floresta,TC_Pastagem,TC_Agri,MB_Agricultura_ha,MB_Mosaico_ha
1100452,RO,2010,110352.4280,28764.2192,478.7149,0.0000,8911.3926,171791.0975,53.8419,0.0000,0.0000,0.0000,0.0000,3453.4786,0.0000,868.7473,280.2006,21.5709,8791.9246,Buritis,RO,Buritis,RO,138252.2370,186199.9163,,139116.6472,180702.4901,53.8419,19.3683,
1101757,RO,2010,196527.8662,30022.2963,1147.3519,0.0000,10164.7319,79351.8938,0.0000,0.0000,0.0000,0.0000,0.0000,362.0374,0.0000,260.7978,1982.3728,0.0000,296.3110,Vale do Anari,RO,Vale do Anari,RO,203958.7412,107352.4740,,226550.1625,89516.6257,0.0000,36.8454,
1101807,RO,2010,10294.4884,14967.7605,333.7915,0.0000,3190.3319,69568.1806,0.0000,0.0000,0.0000,0.0000,0.0000,7.2271,0.0000,126.7352,268.0852,12.6575,6.8457,Vale do Paraíso,RO,Vale do Paraíso,RO,18000.3632,78422.5808,,25262.2489,72758.5125,0.0000,1.4079,
1100502,RO,2010,10416.3051,13125.7741,472.2908,0.0000,5442.7472,56612.3336,342.7852,0.0000,0.0000,0.0000,0.0000,30.3739,0.0000,144.0200,65.2747,0.0000,1.9172,Novo Horizonte do Oeste,RO,Novo Horizonte do Oeste,RO,18657.8355,65889.8263,,23542.0792,62055.0808,342.7852,8.2349,
1101492,RO,2010,554151.8298,30193.1870,321850.3432,0.0000,54374.6235,159943.6264,0.0000,0.0000,0.0000,0.0000,0.0000,1484.5161,0.0000,583.0260,2223.8883,1201.2339,1087.9592,São Francisco do Guaporé,RO,São Francisco do Guaporé,RO,890277.7861,221121.4858,,584345.0168,214318.2498,0.0000,4.9860,
1100148,RO,2010,36314.3177,22580.4236,7067.3184,0.0000,18669.8311,87540.5767,1739.5724,0.0000,0.0000,0.0000,0.0000,117.8619,0.0000,672.6721,156.4767,42.9912,41.3551,Nova Brasilândia D'Oeste,RO,Nova Brasilândia D'Oeste,RO,52233.0166,118556.3964,,58894.7413,106210.4078,1739.5724,11.9175,
1100155,RO,2010,23028.4635,24404.9947,1618.1973,0.0000,13075.3149,137856.4823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,754.3684,580.4765,260.3261,76.0150,Ouro Preto do Oeste,RO,Ouro Preto do Oeste,RO,40182.4132,157697.6626,,47433.4581,150931.7972,0.0000,9.7529,
1101476,RO,2010,9837.4247,6385.1807,9369.5203,0.0000,8329.7217,28000.3150,0.0000,0.0000,0.0000,0.0000,0.0000,6.7152,0.0000,78.5947,227.4428,16.0502,4.8080,Primavera de Rondônia,RO,Primavera de Rondônia,RO,17688.3303,42228.7648,,16222.6054,36330.0367,0.0000,110.5021,
1101484,RO,2010,6228.7241,7465.2102,0.7227,0.0000,15210.3902,26410.6949,62.5847,23.0665,0.0000,0.0000,0.0000,0.1606,0.0000,119.0564,39.4579,0.0000,135.4780,São Felipe D'Oeste,RO,São Felipe D'Oeste,RO,10103.7751,43677.1289,,13693.9344,41621.0851,85.6511,33.0866,
1100189,RO,2010,291885.9540,45428.1996,107124.5352,0.0000,79779.2060,110201.7831,4.1757,0.0000,0.0000,0.0000,0.0000,421.8116,50.0476,1729.4243,3943.4958,214.8656,845.1689,Pimenta Bueno,RO,Pimenta Bueno,RO,406299.5621,211130.4890,,337314.1536,189980.9892,4.1757,1233.4886,
1101500,RO,2010,228682.5878,23603.0177,81632.9164,0.0000,37404.3246,83417.1663,0.0000,0.0000,0.0000,0.0000,0.0000,495.0963,0.0000,207.2370,83.8243,819.4324,426.4389,Seringueiras,RO,Seringueiras,RO,265749.1151,112984.6933,,252285.6055,120821.4909,0.0000,176.1842,
1100205,RO,2010,2569231.5065,179608.7292,43252.9737,136.1806,138761.0840,382600.5012,0.0000,0.0000,192.9635,0.0000,0.0000,13570.2506,3010.0961,15772.1364,82055.6915,1661.8209,44113.2292,Porto Velho,RO,Porto Velho,RO,2710467.8312,615582.0179,,2748840.2357,521361.5853,192.9635,718.4316,
1100254,RO,2010,14348.8499,23897.6223,1769.4544,0.0000,9727.8739,128531.8905,0.0000,0.0000,349.3398,0.0000,0.0000,12.6775,92.6976,508.1151,1085.0583,8.7930,24.4416,Presidente Médici,RO,Presidente Médici,RO,34542.2471,141827.0502,,38246.4722,138259.7644,349.3398,227.9239,
1101559,RO,2010,2198.5533,5916.3730,0.0000,0.0000,5568.7396,33387.8954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.1480,33.6662,0.0000,0.0402,Teixeirópolis,RO,Teixeirópolis,RO,6442.9839,39576.9920,,8114.9263,38956.6349,0.0000,3.6002,
1100288,RO,2010,15184.0514,18784.0192,0.0000,0.0000,10131.8687,102423.5292,433.5355,434.7501,0.0000,0.0000,0.0000,18.1882,16.8030,1963.1507,263.5983,11.8344,106.3387,Rolim de Moura,RO,Rolim de Moura,RO,31230.9792,111572.3267,,33968.0707,112555.3978,868.2856,191.9894,
1100296,RO,2010,23441.9638,15334.9372,0.0000,0.0000,18225.1839,62224.8874,172.5068,2643.2607,619.8139,0.0000,0.0000,59.2622,0.0000,231.8995,203.6737,20.1957,19.5533,Santa Luzia D'Oeste,RO,Santa Luzia D'Oeste,RO,34549.6997,84583.1402,,38776.9010,80450.0714,3435.5814,400.1552,
1100262,RO,2010,66253.1310,21207.6565,2287.3462,0.0000,7375.7348,75222.7218,0.0000,0.0000,1058.4486,0.0000,0.0000,204.6272,123.1718,45.2597,294.9660,0.1405,1195.5727,Rio Crespo,RO,Rio Crespo,RO,84748.4976,85478.8156,,87460.7875,82598.4566,1058.4486,430.1297,
1100320,RO,2010,369983.2037,26508.8328,170508.9502,0.0000,32892.0362,96105.6006,0.0000,0.0000,146.1680,0.0000,0.0000,389.0186,0.0000,387.7739,146.8205,130.2383,255.9095,São Miguel do Guaporé,RO,São Miguel do Guaporé,RO,587013.2345,195660.9004,,396492.0365,128997.6367,146.1680,251.5897,
1101609,RO,2010,47895.6109,30898.8629,0.0000,0.0000,11396.6308,133351.4410,147.2220,0.0000,0.0000,0.0000,0.0000,192.5118,0.0000,110.3839,497.1741,73.5156,55.9498,Theobroma,RO,Theobroma,RO,59128.2647,159792.1339,,78794.4738,144748.0718,147.2220,12.2408,
1100338,RO,2010,604212.5888,63701.3935,136905.4465,0.0000,30389.0715,178831.5552,0.0000,0.0000,0.0000,0.0000,0.0000,6060.1420,111.8594,991.9292,3403.3305,295.5782,5099.5504,Nova Mamoré,RO,Nova Mamoré,RO,768583.8611,233240.8597,,667913.9823,209220.6267,0.0000,18.1216,
1100304,RO,2010,731629.4184,35808.0696,64824.2736,0.0000,20090.6584,61681.3595,0.0000,0.0000,15630.3749,0.0000,0.0000,399.2570,282.1880,71.6286,362.0575,229.4102,2315.0100,Vilhena,RO,Vilhena,RO,1006541.2949,124012.8259,,767437.4880,81772.0179,15630.3749,16318.3972,0.0000
1100379,RO,2010,180975.0922,26294.3687,94205.3959,0.0000,33040.8642,67252.3074,2524.6359,0.0000,545.9972,0.0000,0.0000,318.3637,0.0000,442.2984,1196.4661,15.2171,742.8553,Alto Alegre dos Parecis,RO,Alto Alegre dos Parecis,RO,280684.8029,111354.7310,,207269.4609,100293.1716,3070.6331,461.2623,
1100346,RO,2010,88364.6565,18384.6619,83209.5378,0.0000,14497.5976,105657.7657,0.0000,0.0000,201.1542,0.0000,0.0000,93.4102,0.0000,362.8003,53.0790,4.0652,17.8268,Alvorada D'Oeste,RO,Alvorada D'Oeste,RO,158719.5404,149013.4308,,106749.3184,120155.3633,201.1542,121.8352,
